function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,rocblas-Gflops,rocblas-GB/s,us
axpy,f32_c,f32_c,f32_c,f32_c,f32_c,8192000,(1: 0),1,1, 422.813, 1268.44, 155
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,rocblas-Gflops,rocblas-GB/s,us
axpy,f64_c,f64_c,f64_c,f64_c,f64_c,8192000,(1: 0),1,1, 201.68, 1210.08, 324.95
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,rocblas-Gflops,rocblas-GB/s,us
axpy,f32_r,f32_r,f32_r,f32_r,f32_r,10240000,1,1,1, 212.448, 1274.69, 96.4
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,rocblas-Gflops,rocblas-GB/s,us
axpy,f64_r,f64_r,f64_r,f64_r,f64_r,10240000,1,1,1, 106.307, 1275.68, 192.65
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,rocblas-Gflops,rocblas-GB/s,us
axpy,f32_c,f32_c,f32_c,f32_c,f32_c,10240000,(1: 0),1,1, 428.228, 1284.68, 191.3
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,rocblas-Gflops,rocblas-GB/s,us
axpy,f64_c,f64_c,f64_c,f64_c,f64_c,10240000,(1: 0),1,1, 204.672, 1228.03, 400.25
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,rocblas-Gflops,rocblas-GB/s,us
axpy,f32_r,f32_r,f32_r,f32_r,f32_r,12288000,1,1,1, 213.333, 1280, 115.2
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,rocblas-Gflops,rocblas-GB/s,us
axpy,f64_r,f64_r,f64_r,f64_r,f64_r,12288000,1,1,1, 107.319, 1287.83, 229
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,rocblas-Gflops,rocblas-GB/s,us
axpy,f32_c,f32_c,f32_c,f32_c,f32_c,12288000,(1: 0),1,1, 428.34, 1285.02, 229.5
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,rocblas-Gflops,rocblas-GB/s,us
axpy,f64_c,f64_c,f64_c,f64_c,f64_c,12288000,(1: 0),1,1, 202.334, 1214, 485.85
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,rocblas-Gflops,rocblas-GB/s,us
axpy,f32_r,f32_r,f32_r,f32_r,f32_r,14336000,1,1,1, 215.094, 1290.56, 133.3
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,rocblas-Gflops,rocblas-GB/s,us
axpy,f64_r,f64_r,f64_r,f64_r,f64_r,14336000,1,1,1, 108.339, 1300.07, 264.65
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,rocblas-Gflops,rocblas-GB/s,us
axpy,f32_c,f32_c,f32_c,f32_c,f32_c,14336000,(1: 0),1,1, 424.535, 1273.6, 270.15
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,rocblas-Gflops,rocblas-GB/s,us
axpy,f64_c,f64_c,f64_c,f64_c,f64_c,14336000,(1: 0),1,1, 204.873, 1229.24, 559.8
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,rocblas-Gflops,rocblas-GB/s,us
axpy,f32_r,f32_r,f32_r,f32_r,f32_r,16384000,1,1,1, 212.71, 1276.26, 154.05
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,rocblas-Gflops,rocblas-GB/s,us
axpy,f64_r,f64_r,f64_r,f64_r,f64_r,16384000,1,1,1, 107.12, 1285.44, 305.9
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,rocblas-Gflops,rocblas-GB/s,us
axpy,f32_c,f32_c,f32_c,f32_c,f32_c,16384000,(1: 0),1,1, 429.463, 1288.39, 305.2
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,rocblas-Gflops,rocblas-GB/s,us
axpy,f64_c,f64_c,f64_c,f64_c,f64_c,16384000,(1: 0),1,1, 203.149, 1218.9, 645.2
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,rocblas-Gflops,rocblas-GB/s,us
axpy,f32_r,f32_r,f32_r,f32_r,f32_r,18432000,1,1,1, 215.264, 1291.59, 171.25
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,rocblas-Gflops,rocblas-GB/s,us
axpy,f64_r,f64_r,f64_r,f64_r,f64_r,18432000,1,1,1, 107.726, 1292.72, 342.2
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,rocblas-Gflops,rocblas-GB/s,us
axpy,f32_c,f32_c,f32_c,f32_c,f32_c,18432000,(1: 0),1,1, 432.676, 1298.03, 340.8
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,rocblas-Gflops,rocblas-GB/s,us
axpy,f64_c,f64_c,f64_c,f64_c,f64_c,18432000,(1: 0),1,1, 205.786, 1234.72, 716.55
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,rocblas-Gflops,rocblas-GB/s,us
axpy,f32_r,f32_r,f32_r,f32_r,f32_r,20480000,1,1,1, 214.9, 1289.4, 190.6
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,rocblas-Gflops,rocblas-GB/s,us
axpy,f64_r,f64_r,f64_r,f64_r,f64_r,20480000,1,1,1, 107.789, 1293.47, 380
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,rocblas-Gflops,rocblas-GB/s,us
axpy,f32_c,f32_c,f32_c,f32_c,f32_c,20480000,(1: 0),1,1, 431.442, 1294.33, 379.75
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,rocblas-Gflops,rocblas-GB/s,us
axpy,f64_c,f64_c,f64_c,f64_c,f64_c,20480000,(1: 0),1,1, 203.642, 1221.85, 804.55
