scal,f64_c,f64_c,f64_c,f64_c,f64_c,6144000,(2: 0),1, 248.913, 1327.54, 148.1
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,rocblas-Gflops,rocblas-GB/s,us
scal,f32_r,f32_r,f32_r,f32_r,f32_r,8192000,2,1, 157.842, 1262.74, 51.9
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,rocblas-Gflops,rocblas-GB/s,us
scal,f64_r,f64_r,f64_r,f64_r,f64_r,8192000,2,1, 81.7973, 1308.76, 100.15
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,rocblas-Gflops,rocblas-GB/s,us
scal,f32_c,f32_c,f32_c,f32_c,f32_c,8192000,(2: 0),1, 491.274, 1310.06, 100.05
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,rocblas-Gflops,rocblas-GB/s,us
scal,f64_c,f64_c,f64_c,f64_c,f64_c,8192000,(2: 0),1, 249.06, 1328.32, 197.35
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,rocblas-Gflops,rocblas-GB/s,us
scal,f32_r,f32_r,f32_r,f32_r,f32_r,10240000,2,1, 160.25, 1282, 63.9
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,rocblas-Gflops,rocblas-GB/s,us
scal,f64_r,f64_r,f64_r,f64_r,f64_r,10240000,2,1, 81.92, 1310.72, 125
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,rocblas-Gflops,rocblas-GB/s,us
scal,f32_c,f32_c,f32_c,f32_c,f32_c,10240000,(2: 0),1, 485.5, 1294.67, 126.55
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,rocblas-Gflops,rocblas-GB/s,us
scal,f64_c,f64_c,f64_c,f64_c,f64_c,10240000,(2: 0),1, 252.735, 1347.92, 243.1
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,rocblas-Gflops,rocblas-GB/s,us
scal,f32_r,f32_r,f32_r,f32_r,f32_r,12288000,2,1, 156.635, 1253.08, 78.45
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,rocblas-Gflops,rocblas-GB/s,us
scal,f64_r,f64_r,f64_r,f64_r,f64_r,12288000,2,1, 80.2875, 1284.6, 153.05
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,rocblas-Gflops,rocblas-GB/s,us
scal,f32_c,f32_c,f32_c,f32_c,f32_c,12288000,(2: 0),1, 494.985, 1319.96, 148.95
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,rocblas-Gflops,rocblas-GB/s,us
scal,f64_c,f64_c,f64_c,f64_c,f64_c,12288000,(2: 0),1, 252.97, 1349.17, 291.45
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,rocblas-Gflops,rocblas-GB/s,us
scal,f32_r,f32_r,f32_r,f32_r,f32_r,14336000,2,1, 163.934, 1311.47, 87.45
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,rocblas-Gflops,rocblas-GB/s,us
scal,f64_r,f64_r,f64_r,f64_r,f64_r,14336000,2,1, 81.8265, 1309.22, 175.2
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,rocblas-Gflops,rocblas-GB/s,us
scal,f32_c,f32_c,f32_c,f32_c,f32_c,14336000,(2: 0),1, 492.646, 1313.72, 174.6
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,rocblas-Gflops,rocblas-GB/s,us
scal,f64_c,f64_c,f64_c,f64_c,f64_c,14336000,(2: 0),1, 253.137, 1350.06, 339.8
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,rocblas-Gflops,rocblas-GB/s,us
scal,f32_r,f32_r,f32_r,f32_r,f32_r,16384000,2,1, 160.549, 1284.39, 102.05
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,rocblas-Gflops,rocblas-GB/s,us
scal,f64_r,f64_r,f64_r,f64_r,f64_r,16384000,2,1, 82.5598, 1320.96, 198.45
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,rocblas-Gflops,rocblas-GB/s,us
scal,f32_c,f32_c,f32_c,f32_c,f32_c,16384000,(2: 0),1, 493.99, 1317.31, 199
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,rocblas-Gflops,rocblas-GB/s,us
scal,f64_c,f64_c,f64_c,f64_c,f64_c,16384000,(2: 0),1, 253.95, 1354.4, 387.1
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,rocblas-Gflops,rocblas-GB/s,us
scal,f32_r,f32_r,f32_r,f32_r,f32_r,18432000,2,1, 164.351, 1314.81, 112.15
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,rocblas-Gflops,rocblas-GB/s,us
scal,f64_r,f64_r,f64_r,f64_r,f64_r,18432000,2,1, 83.0083, 1328.13, 222.05
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,rocblas-Gflops,rocblas-GB/s,us
scal,f32_c,f32_c,f32_c,f32_c,f32_c,18432000,(2: 0),1, 498.611, 1329.63, 221.8
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,rocblas-Gflops,rocblas-GB/s,us
scal,f64_c,f64_c,f64_c,f64_c,f64_c,18432000,(2: 0),1, 251.546, 1341.58, 439.65
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,rocblas-Gflops,rocblas-GB/s,us
scal,f32_r,f32_r,f32_r,f32_r,f32_r,20480000,2,1, 159.502, 1276.01, 128.4
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,rocblas-Gflops,rocblas-GB/s,us
scal,f64_r,f64_r,f64_r,f64_r,f64_r,20480000,2,1, 83.3537, 1333.66, 245.7
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,rocblas-Gflops,rocblas-GB/s,us
scal,f32_c,f32_c,f32_c,f32_c,f32_c,20480000,(2: 0),1, 498.297, 1328.79, 246.6
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,rocblas-Gflops,rocblas-GB/s,us
scal,f64_c,f64_c,f64_c,f64_c,f64_c,20480000,(2: 0),1, 252.062, 1344.33, 487.5
