function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,lda,incx,rocblas-Gflops,rocblas-GB/s,us
her,f64_c,f64_c,f64_c,f64_c,f64_c,L,14336,(1: 0),14336,1, 221.921, 443.935, 3704.4
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,lda,incx,rocblas-Gflops,rocblas-GB/s,us
her,f32_c,f32_c,f32_c,f32_c,f32_c,L,16384,(1: 0),16384,1, 313.629, 313.687, 3423.6
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,lda,incx,rocblas-Gflops,rocblas-GB/s,us
her,f64_c,f64_c,f64_c,f64_c,f64_c,L,16384,(1: 0),16384,1, 194.946, 389.963, 5507.9
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,lda,incx,rocblas-Gflops,rocblas-GB/s,us
her,f32_c,f32_c,f32_c,f32_c,f32_c,L,18432,(1: 0),18432,1, 416.614, 416.682, 3261.9
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,lda,incx,rocblas-Gflops,rocblas-GB/s,us
her,f64_c,f64_c,f64_c,f64_c,f64_c,L,18432,(1: 0),18432,1, 221.101, 442.274, 6146.3
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,lda,incx,rocblas-Gflops,rocblas-GB/s,us
her,f32_c,f32_c,f32_c,f32_c,f32_c,L,20480,(1: 0),20480,1, 400.44, 400.498, 4189.7
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,lda,incx,rocblas-Gflops,rocblas-GB/s,us
her,f64_c,f64_c,f64_c,f64_c,f64_c,L,20480,(1: 0),20480,1, 214.028, 428.118, 7838.8
