Query device success: there are 8 devices
-------------------------------------------------------------------------------
Device ID 0 :  gfx90a:sramecc+:xnack-
with 68.7 GB memory, max. SCLK 1700 MHz, max. MCLK 1600 MHz, compute capability 9.0
maxGridDimX 2147483647, sharedMemPerBlock 65.5 KB, maxThreadsPerBlock 1024, warpSize 64
-------------------------------------------------------------------------------
Device ID 1 :  gfx90a:sramecc+:xnack-
with 68.7 GB memory, max. SCLK 1700 MHz, max. MCLK 1600 MHz, compute capability 9.0
maxGridDimX 2147483647, sharedMemPerBlock 65.5 KB, maxThreadsPerBlock 1024, warpSize 64
-------------------------------------------------------------------------------
Device ID 2 :  gfx90a:sramecc+:xnack-
with 68.7 GB memory, max. SCLK 1700 MHz, max. MCLK 1600 MHz, compute capability 9.0
maxGridDimX 2147483647, sharedMemPerBlock 65.5 KB, maxThreadsPerBlock 1024, warpSize 64
-------------------------------------------------------------------------------
Device ID 3 :  gfx90a:sramecc+:xnack-
with 68.7 GB memory, max. SCLK 1700 MHz, max. MCLK 1600 MHz, compute capability 9.0
maxGridDimX 2147483647, sharedMemPerBlock 65.5 KB, maxThreadsPerBlock 1024, warpSize 64
-------------------------------------------------------------------------------
Device ID 4 :  gfx90a:sramecc+:xnack-
with 68.7 GB memory, max. SCLK 1700 MHz, max. MCLK 1600 MHz, compute capability 9.0
maxGridDimX 2147483647, sharedMemPerBlock 65.5 KB, maxThreadsPerBlock 1024, warpSize 64
-------------------------------------------------------------------------------
Device ID 5 :  gfx90a:sramecc+:xnack-
with 68.7 GB memory, max. SCLK 1700 MHz, max. MCLK 1600 MHz, compute capability 9.0
maxGridDimX 2147483647, sharedMemPerBlock 65.5 KB, maxThreadsPerBlock 1024, warpSize 64
-------------------------------------------------------------------------------
Device ID 6 :  gfx90a:sramecc+:xnack-
with 68.7 GB memory, max. SCLK 1700 MHz, max. MCLK 1600 MHz, compute capability 9.0
maxGridDimX 2147483647, sharedMemPerBlock 65.5 KB, maxThreadsPerBlock 1024, warpSize 64
-------------------------------------------------------------------------------
Device ID 7 :  gfx90a:sramecc+:xnack-
with 68.7 GB memory, max. SCLK 1700 MHz, max. MCLK 1600 MHz, compute capability 9.0
maxGridDimX 2147483647, sharedMemPerBlock 65.5 KB, maxThreadsPerBlock 1024, warpSize 64
-------------------------------------------------------------------------------


rocBLAS info: Time taken to complete rocBLAS library initialization is 2896 milliseconds.
function,a_type,b_type,c_type,d_type,compute_type,transA,M,N,KL,KU,alpha,lda,incx,beta,incy,rocblas-Gflops,rocblas-GB/s,us
gbmv,f32_r,f32_r,f32_r,f32_r,f32_r,N,2048,2048,128,128,1,2048,1,1,1, 30.4389, 60.5132, 33.7
function,a_type,b_type,c_type,d_type,compute_type,transA,M,N,KL,KU,alpha,lda,incx,beta,incy,rocblas-Gflops,rocblas-GB/s,us
gbmv,f64_r,f64_r,f64_r,f64_r,f64_r,N,2048,2048,128,128,1,2048,1,1,1, 28.9772, 115.214, 35.4
function,a_type,b_type,c_type,d_type,compute_type,transA,M,N,KL,KU,alpha,lda,incx,beta,incy,rocblas-Gflops,rocblas-GB/s,us
gbmv,f32_c,f32_c,f32_c,f32_c,f32_c,N,2048,2048,128,128,(1: 0),2048,1,(1: 0),1, 113.148, 112.358, 36.3
function,a_type,b_type,c_type,d_type,compute_type,transA,M,N,KL,KU,alpha,lda,incx,beta,incy,rocblas-Gflops,rocblas-GB/s,us
gbmv,f64_c,f64_c,f64_c,f64_c,f64_c,N,2048,2048,128,128,(1: 0),2048,1,(1: 0),1, 102.426, 203.421, 40.1
function,a_type,b_type,c_type,d_type,compute_type,transA,M,N,KL,KU,alpha,lda,incx,beta,incy,rocblas-Gflops,rocblas-GB/s,us
gbmv,f32_r,f32_r,f32_r,f32_r,f32_r,N,4096,4096,128,128,1,4096,1,1,1, 37.4256, 74.4101, 55.7
function,a_type,b_type,c_type,d_type,compute_type,transA,M,N,KL,KU,alpha,lda,incx,beta,incy,rocblas-Gflops,rocblas-GB/s,us
gbmv,f64_r,f64_r,f64_r,f64_r,f64_r,N,4096,4096,128,128,1,4096,1,1,1, 34.9181, 138.849, 59.7
function,a_type,b_type,c_type,d_type,compute_type,transA,M,N,KL,KU,alpha,lda,incx,beta,incy,rocblas-Gflops,rocblas-GB/s,us
gbmv,f32_c,f32_c,f32_c,f32_c,f32_c,N,4096,4096,128,128,(1: 0),4096,1,(1: 0),1, 137.28, 136.337, 60.8
function,a_type,b_type,c_type,d_type,compute_type,transA,M,N,KL,KU,alpha,lda,incx,beta,incy,rocblas-Gflops,rocblas-GB/s,us
gbmv,f64_c,f64_c,f64_c,f64_c,f64_c,N,4096,4096,128,128,(1: 0),4096,1,(1: 0),1, 112.337, 223.13, 74.3
function,a_type,b_type,c_type,d_type,compute_type,transA,M,N,KL,KU,alpha,lda,incx,beta,incy,rocblas-Gflops,rocblas-GB/s,us
gbmv,f32_r,f32_r,f32_r,f32_r,f32_r,N,6144,6144,128,128,1,6144,1,1,1, 39.3913, 78.3206, 79.8
function,a_type,b_type,c_type,d_type,compute_type,transA,M,N,KL,KU,alpha,lda,incx,beta,incy,rocblas-Gflops,rocblas-GB/s,us
gbmv,f64_r,f64_r,f64_r,f64_r,f64_r,N,6144,6144,128,128,1,6144,1,1,1, 38.952, 154.894, 80.7
function,a_type,b_type,c_type,d_type,compute_type,transA,M,N,KL,KU,alpha,lda,incx,beta,incy,rocblas-Gflops,rocblas-GB/s,us
gbmv,f32_c,f32_c,f32_c,f32_c,f32_c,N,6144,6144,128,128,(1: 0),6144,1,(1: 0),1, 152.743, 151.699, 82.4
function,a_type,b_type,c_type,d_type,compute_type,transA,M,N,KL,KU,alpha,lda,incx,beta,incy,rocblas-Gflops,rocblas-GB/s,us
gbmv,f64_c,f64_c,f64_c,f64_c,f64_c,N,6144,6144,128,128,(1: 0),6144,1,(1: 0),1, 149.655, 297.264, 84.1
function,a_type,b_type,c_type,d_type,compute_type,transA,M,N,KL,KU,alpha,lda,incx,beta,incy,rocblas-Gflops,rocblas-GB/s,us
gbmv,f32_r,f32_r,f32_r,f32_r,f32_r,N,8192,8192,128,128,1,8192,1,1,1, 29.4687, 58.5928, 142.6
function,a_type,b_type,c_type,d_type,compute_type,transA,M,N,KL,KU,alpha,lda,incx,beta,incy,rocblas-Gflops,rocblas-GB/s,us
gbmv,f64_r,f64_r,f64_r,f64_r,f64_r,N,8192,8192,128,128,1,8192,1,1,1, 28.961, 115.166, 145.1
function,a_type,b_type,c_type,d_type,compute_type,transA,M,N,KL,KU,alpha,lda,incx,beta,incy,rocblas-Gflops,rocblas-GB/s,us
